items,weight,quantity,price
butter, 200, 1,2.9
sugar, 200, 1,1.88
egg, 0, 8,2.79
lemon, 0, 1,4.07
self-raising flour, 200, 1,3.73
chicken, 900, 1,0.68
strawberry, 300, 1,1.7
potatoes, 500, 1,1.42
garlic cloves, 0, 3,2.47
bacon, 200, 1,2.1
pasta, 200, 1,0.56
cheese, 40, 1,1.43
carrot, 100, 1,4.82
mince, 500, 1,1.18
onion, 0, 1,1.67
milk, 500, 1,4.4
jam, 150, 1,3.97
icing sugar, 100, 1,4.22
oil, 50, 1,3.23
chopped tomatoes, 200, 1,3.31
plain flour, 200, 1,2.31
lasagne sheets, 300, 1,3.75
sweetcorn, 100, 1,4.87
peas, 100, 1,4.53
tuna, 150, 1,4.46
lamb mince, 500, 1,0.74
beef stock, 400, 1,1.21
red chillies, 0, 2,4.84
kidney beans, 400, 1,1.34
lime, 0, 1,1.85
red pepper, 0, 1,1.24
white flour, 200, 1,2.61
mozzarella, 100, 1,4.05
yeast, 50, 1,1.03
water, 200, 1,1.03
passata, 100, 1,4.83
pepperoni, 200, 1,3.91
yogurt, 100, 1,2.98
root ginger, 20, 1,3.66
